InstanceType,InstanceFamily,InstanceCategory,InstanceCharacter,vCPU,Memory,CoreMark,CpuModel,ModelName,Vendor
c7gn.large,c7gn,Computing,c,2,4.0,24061.1460458,AWS Graviton3 Processor,AWS Graviton3 Processor,AWS
c7gn.xlarge,c7gn,Computing,c,4,8.0,24086.8702568,AWS Graviton3 Processor,AWS Graviton3 Processor,AWS
c7gn.2xlarge,c7gn,Computing,c,8,16.0,24090.2329426,AWS Graviton3 Processor,AWS Graviton3 Processor,AWS
c7gn.4xlarge,c7gn,Computing,c,16,32.0,24079.212249,AWS Graviton3 Processor,AWS Graviton3 Processor,AWS
c7gn.8xlarge,c7gn,Computing,c,32,64.0,24081.5307288,AWS Graviton3 Processor,AWS Graviton3 Processor,AWS
c7gn.12xlarge,c7gn,Computing,c,48,96.0,24076.4292834,AWS Graviton3 Processor,AWS Graviton3 Processor,AWS
c7gn.16xlarge,c7gn,Computing,c,64,128.0,24072.9521798,AWS Graviton3 Processor,AWS Graviton3 Processor,AWS
c7i.large,c7i,Computing,c,2,4.0,33276.402084199995,Intel(R) Xeon(R) Platinum 8488C,Intel(R) Xeon(R) Platinum 8488C,Intel
c7i.xlarge,c7i,Computing,c,4,8.0,31918.1276076,Intel(R) Xeon(R) Platinum 8488C,Intel(R) Xeon(R) Platinum 8488C,Intel
c7i.2xlarge,c7i,Computing,c,8,16.0,34927.205125199995,Intel(R) Xeon(R) Platinum 8488C,Intel(R) Xeon(R) Platinum 8488C,Intel
c7i.4xlarge,c7i,Computing,c,16,32.0,34333.2174978,Intel(R) Xeon(R) Platinum 8488C,Intel(R) Xeon(R) Platinum 8488C,Intel
c7i.8xlarge,c7i,Computing,c,32,64.0,34415.6075862,Intel(R) Xeon(R) Platinum 8488C,Intel(R) Xeon(R) Platinum 8488C,Intel
c7i.12xlarge,c7i,Computing,c,48,96.0,34778.3111392,Intel(R) Xeon(R) Platinum 8488C,Intel(R) Xeon(R) Platinum 8488C,Intel
c7i.16xlarge,c7i,Computing,c,64,128.0,34370.7301538,Intel(R) Xeon(R) Platinum 8488C,Intel(R) Xeon(R) Platinum 8488C,Intel
c7i.24xlarge,c7i,Computing,c,96,192.0,34352.6937346,Intel(R) Xeon(R) Platinum 8488C,Intel(R) Xeon(R) Platinum 8488C,Intel
c7i.48xlarge,c7i,Computing,c,192,384.0,34368.0759288,Intel(R) Xeon(R) Platinum 8488C,Intel(R) Xeon(R) Platinum 8488C,Intel
c7i-flex.large,c7i-flex,Computing,c,2,4.0,34210.7263,Intel(R) Xeon(R) Platinum 8488C,Intel(R) Xeon(R) Platinum 8488C,Intel
c7i-flex.xlarge,c7i-flex,Computing,c,4,8.0,34210.7263,Intel(R) Xeon(R) Platinum 8488C,Intel(R) Xeon(R) Platinum 8488C,Intel
c7i-flex.2xlarge,c7i-flex,Computing,c,8,16.0,34210.7263,Intel(R) Xeon(R) Platinum 8488C,Intel(R) Xeon(R) Platinum 8488C,Intel
c7i-flex.4xlarge,c7i-flex,Computing,c,16,32.0,34210.7263,Intel(R) Xeon(R) Platinum 8488C,Intel(R) Xeon(R) Platinum 8488C,Intel
c7i-flex.8xlarge,c7i-flex,Computing,c,32,64.0,34210.7263,Intel(R) Xeon(R) Platinum 8488C,Intel(R) Xeon(R) Platinum 8488C,Intel
c8g.medium,c8g,Computing,c,1,2.0,28986.350975800004,AWS Graviton4 Processor,AWS Graviton4 Processor,AWS
c8g.large,c8g,Computing,c,2,4.0,28990.0466954,AWS Graviton4 Processor,AWS Graviton4 Processor,AWS
c8g.xlarge,c8g,Computing,c,4,8.0,28973.4290674,AWS Graviton4 Processor,AWS Graviton4 Processor,AWS
c8g.2xlarge,c8g,Computing,c,8,16.0,28984.836842800003,AWS Graviton4 Processor,AWS Graviton4 Processor,AWS
c8g.4xlarge,c8g,Computing,c,16,32.0,28936.177951,AWS Graviton4 Processor,AWS Graviton4 Processor,AWS
c8g.8xlarge,c8g,Computing,c,32,64.0,28981.140538999996,AWS Graviton4 Processor,AWS Graviton4 Processor,AWS
c8g.12xlarge,c8g,Computing,c,48,96.0,28985.339696599996,AWS Graviton4 Processor,AWS Graviton4 Processor,AWS
c8g.16xlarge,c8g,Computing,c,64,128.0,28986.517522600003,AWS Graviton4 Processor,AWS Graviton4 Processor,AWS
c8g.24xlarge,c8g,Computing,c,96,192.0,28984.1648316,AWS Graviton4 Processor,AWS Graviton4 Processor,AWS
c8g.48xlarge,c8g,Computing,c,192,384.0,27923.915052000004,AWS Graviton4 Processor,AWS Graviton4 Processor,AWS
c8gd.medium,c8gd,Computing,c,1,2.0,28986.350975800004,AWS Graviton4 Processor,AWS Graviton4 Processor,AWS
c8gd.large,c8gd,Computing,c,2,4.0,28990.0466954,AWS Graviton4 Processor,AWS Graviton4 Processor,AWS
c8gd.xlarge,c8gd,Computing,c,4,8.0,28973.4290674,AWS Graviton4 Processor,AWS Graviton4 Processor,AWS
c8gd.2xlarge,c8gd,Computing,c,8,16.0,28984.836842800003,AWS Graviton4 Processor,AWS Graviton4 Processor,AWS
